Id,Name,Interval,MosterId
1001,右3小兵,500,10103:6;10103:12;10103:18
1002,左1小兵,250,10103:-6
1003,右2弓箭手,1000,10301:6;10301:12
1004,左7小刀,500,10104:6;10104:12;10104:18;10104:24;10104:30;10104:36;10104:42
1005,右3弓箭手,1000,10301:6;10301:12;10301:18
1006,左1宝箱,500,10301:-6
1007,左右 5小兵,500,10103:-6;10103:-12;10103:-18;10103:-24;10103:-30;10103:6;10103:12;10103:18;10103:24
1008,右左 3小兵,1000,10103:6;10103:12;10103:18;10103:;10103:;10103:
1009,右 3小兵1胖子,500,10103:6;10103:12;10103:18;10401:24
1010,左 1胖子 右 1弓箭手,500,10301:6;10401:-6
1011,右 1胖子 左 1弓箭手,1000,10301:-6;10401:6
1012,右1胖子 左 3刺客,500,10401:6;10104:-6;10104:-12;10104:-18
1013,左 1弓箭手,100,10301:-6
1014,左右 1弓箭手,500,10301:-6;10301:6
1015,左 3小兵 1弓箭手,500,10103:-6;10103:-12;10103:-18;10301:-24
1016,,500,
1017,,500,
1018,,500,
1019,,500,
1020,,500,
1021,,500,
1022,,500,
1023,,500,
1024,,500,
1025,,500,
1026,,500,
1027,,500,
1028,,500,
1029,,500,
1030,,500,
1031,,500,
1032,,500,
1033,,500,
1034,,500,
1035,,500,
1036,,500,
1037,,500,
1038,,500,
1039,,500,
1040,,500,
1041,,500,
1042,,500,
1043,,500,
1044,,500,
1045,,500,
1046,,500,
1047,,500,
1048,,500,
1049,,500,
1050,,500,
1051,,500,
1052,,500,
1053,,500,
1054,,500,
1055,,500,
1056,,500,
1057,,500,
1058,,500,
1059,,500,
1060,,500,
1061,,500,
1062,,500,
1063,,500,
1064,,500,
1065,,500,
1066,,500,
1067,,500,
1068,,500,
1069,,500,
1070,,500,
1071,,500,
1072,,500,
1073,,500,
1074,,500,
1075,,500,
1076,,500,
1077,,500,
1078,,500,
1079,,500,
1080,,500,
1081,,500,
1082,,500,
1083,,500,
1084,,500,
1085,,500,
1086,,500,
1087,,500,
1088,,500,
1089,,500,
1090,,500,
1091,,500,
1092,,500,
1093,,500,
1094,,500,
1095,,500,
1096,,500,
1097,,500,
1098,,500,
1099,,500,
1100,,500,
1101,,500,
1102,,500,
1103,,500,
1104,,500,
1105,,500,
1106,,500,
1107,,500,
1108,,500,
1109,,500,
1110,,500,
1111,,500,
1112,,500,
1113,,500,
1114,,500,
1115,,500,
1116,,500,
1117,,500,
1118,,500,
1119,,500,
1120,,500,
1121,,500,
1122,,500,
1123,,500,
1124,,500,
1125,,500,
1126,,500,
1127,,500,
1128,,500,
1129,,500,
1130,,500,
1131,,500,
1132,,500,
1133,,500,
1134,,500,
1135,,500,
1136,,500,
1137,,500,
1138,,500,
1139,,500,
1140,,500,
1141,,500,
1142,,500,
1143,,500,
1144,,500,
1145,,500,
1146,,500,
1147,,500,
1148,,500,
1149,,500,
1150,,500,
1151,,500,
1152,,500,
1153,,500,
1154,,500,
1155,,500,
1156,,500,
1157,,500,
1158,,500,
1159,,500,
1160,,500,
1161,,500,
1162,,500,
1163,,500,
1164,,500,
1165,,500,
1166,,500,
1167,,500,
1168,,500,
1169,,500,
1170,,500,
1171,,500,
1172,,500,
1173,,500,
1174,,500,
1175,,500,
1176,,500,
1177,,500,
1178,,500,
1179,,500,
1180,,500,
1181,,500,
1182,,500,
1183,,500,
1184,,500,
1185,,500,
1186,,500,
1187,,500,
1188,,500,
1189,,500,
1190,,500,
1191,,500,
1192,,500,
1193,,500,
1194,,500,
1195,,500,
1196,,500,
1197,,500,
1198,,500,
1199,,500,
1200,,500,
1201,,500,
1202,,500,
1203,,500,
1204,,500,
1205,,500,
1206,,500,
1207,,500,
1208,,500,
1209,,500,
1210,,500,
1211,,500,
1212,,500,
1213,,500,
1214,,500,
1215,,500,
1216,,500,
1217,,500,
1218,,500,
1219,,500,
1220,,500,
1221,,500,
1222,,500,
1223,,500,
1224,,500,
1225,,500,
1226,,500,
1227,,500,
1228,,500,
1229,,500,
1230,,500,
1231,,500,
1232,,500,
1233,,500,
1234,,500,
1235,,500,
1236,,500,
1237,,500,
1238,,500,
1239,,500,
1240,,500,
1241,,500,
1242,,500,
1243,,500,
1244,,500,
1245,,500,
1246,,500,
1247,,500,
1248,,500,
1249,,500,
1250,,500,
1251,,500,
1252,,500,
1253,,500,
1254,,500,
1255,,500,
1256,,500,
1257,,500,
1258,,500,
1259,,500,
1260,,500,
1261,,500,
1262,,500,
1263,,500,
1264,,500,
1265,,500,
1266,,500,
1267,,500,
1268,,500,
1269,,500,
1270,,500,
1271,,500,
1272,,500,
1273,,500,
1274,,500,
1275,,500,
1276,,500,
1277,,500,
1278,,500,
1279,,500,
1280,,500,
1281,,500,
1282,,500,
1283,,500,
1284,,500,
1285,,500,
1286,,500,
1287,,500,
1288,,500,
1289,,500,
1290,,500,
1291,,500,
1292,,500,
1293,,500,
1294,,500,
1295,,500,
1296,,500,
1297,,500,
1298,,500,
1299,,500,
1300,,500,
1301,,500,
1302,,500,
1303,,500,
1304,,500,
1305,,500,
1306,,500,
1307,,500,
1308,,500,
1309,,500,
1310,,500,
1311,,500,
1312,,500,
1313,,500,
1314,,500,
1315,,500,
1316,,500,
1317,,500,
1318,,500,
1319,,500,
1320,,500,
1321,,500,
1322,,500,
1323,,500,
1324,,500,
1325,,500,
1326,,500,
1327,,500,
1328,,500,
1329,,500,
1330,,500,
1331,,500,
1332,,500,
1333,,500,
